model,round,accuracy,n_samples
llama3b,0,0.9666666666666667,750
llama3b,1,0.7653333333333333,750
llama3b,2,0.7986666666666666,750
llama3b,3,0.8186666666666667,750
llama3b,4,0.832,750
llama8b,0,0.9173333333333333,750
llama8b,1,0.968,750
llama8b,2,0.944,750
llama8b,3,0.9506666666666667,750
llama8b,4,0.9573333333333334,750
qwen14b,0,0.8266666666666667,750
qwen14b,1,0.9106666666666666,750
qwen14b,2,0.9546666666666667,750
qwen14b,3,0.9453333333333334,750
qwen14b,4,0.9426666666666667,750
qwen32b,0,0.828,750
qwen32b,1,0.9773333333333334,750
qwen32b,2,0.9706666666666667,750
qwen32b,3,0.9653333333333334,750
qwen32b,4,0.9693333333333334,750
qwen3b,0,0.944,750
qwen3b,1,0.968,750
qwen3b,2,0.9506666666666667,750
qwen3b,3,0.9613333333333334,750
qwen3b,4,0.9626666666666667,750
qwen7b,0,0.848,750
qwen7b,1,0.8386666666666667,750
qwen7b,2,0.8733333333333333,750
qwen7b,3,0.908,750
qwen7b,4,0.9093333333333333,750
majority,0,0.964,750
majority,1,0.9613333333333334,750
majority,2,0.952,750
majority,3,0.9586666666666667,750
majority,4,0.96,750
