model,round,accuracy,n_samples
llama3b,0,0.856,750
llama3b,1,0.904,750
llama3b,2,0.8586666666666667,750
llama3b,3,0.876,750
llama3b,4,0.8746666666666667,750
llama8b,0,0.708,750
llama8b,1,0.788,750
llama8b,2,0.8213333333333334,750
llama8b,3,0.824,750
llama8b,4,0.8253333333333334,750
qwen14b,0,0.848,750
qwen14b,1,0.8986666666666666,750
qwen14b,2,0.9226666666666666,750
qwen14b,3,0.912,750
qwen14b,4,0.9146666666666666,750
qwen32b,0,0.844,750
qwen32b,1,0.948,750
qwen32b,2,0.952,750
qwen32b,3,0.9533333333333334,750
qwen32b,4,0.94,750
qwen3b,0,0.9,750
qwen3b,1,0.928,750
qwen3b,2,0.9186666666666666,750
qwen3b,3,0.8933333333333333,750
qwen3b,4,0.904,750
qwen7b,0,0.8186666666666667,750
qwen7b,1,0.7293333333333333,750
qwen7b,2,0.7786666666666666,750
qwen7b,3,0.7853333333333333,750
qwen7b,4,0.8013333333333333,750
majority,0,0.9106666666666666,750
majority,1,0.9226666666666666,750
majority,2,0.9053333333333333,750
majority,3,0.9026666666666666,750
majority,4,0.9093333333333333,750
